iter	Logloss
0	0.6747980553
1	0.6582606349
2	0.6427026762
3	0.6287020028
4	0.6151637182
5	0.6027845908
6	0.5912156298
7	0.5804318418	8	0.5701233229	9	0.5609275401010	0.55218769711	0.5421937586
12	0.5348121984
13	0.5284454929
14	0.5221139878
15	0.5159652636
16	0.5101696715
17	0.5050137339
18	0.5003080976
19	0.495718355
2020	0.4932548121	21	0.4895956122	22	0.485839212323	0.482488944224	0.479633541525	0.4747984048
26	0.4717794772
227	0.471421820528	0.4667387628229	0.4646116687330	0.4623223589331	0.460420210732	0.4605095811
33	0.4586188428
34	0.4568036789
35	0.4555301805
36	0.4540042272
37	0.4524360229
38	0.4511721682
39	0.4498489757
40	0.448542484
41	0.447328952
42	0.4463827804
43	0.4451930899
44	0.4442328859
45	0.4432765525
46	0.4423565799
47	0.4416411967
48	0.440937717
49	0.4401697332
50	0.4395606124
51	51	0.4370238852	52	0.4363274253	53	0.4356773454	54	0.4349941755	55	0.4342888256	56	0.4337502257	57	0.4331928658	58	0.432727305959	0.4322086660	60	0.4317696861	61	0.431383762	062	0.430861963	063	0.430379764	064	0.429938365	065	0.429442866	066	0.429128167	067	0.428834568	068	0.42855569	0.69	0.42829170	0.70	0.42804371	0.4294846945
72	0.42921104
73	0.4288554423
74	0.4285604907
75	0.4283291114
76	0.4279920195
77	0.427786955
78	0.4278	0.425679	0.4279	0.425480	0.4280	0.425181	0.4281	0.424882	0.4282	0.424583	0.4283	0.424284	0.4284	0.423985	0.4285	0.423786	0.4286	0.423587	0.4287	0.423288	0.4288	0.422989	0.4289	0.422890	0.4290	0.422491	0.4291	0.422192	0.4292	0.421993	0.4293	0.421794	0.4294	0.421595	0.4295	0.421396	0.4296	0.421297	0.4297	0.421098	0.4298	0.420999	0.499	0.42064100	0.100	0.42045101	0101	0.420264102	0102	0.420147103	0103	0.419931104	0104	0.419647105	0105	0.41945106	0106	0.419312107	0107	0.41913108	0.108	0.41900109	0.109	0.41886110	0.110	0.41865111	0.111	0.41848112	0.112	0.41831113	0113	0.418090114	0114	0.417861115	0115	0.417716116	116	0.4175862117	117	0.4174246118	118	0.4172954119	119	0.4170975120	120	0.4168870121	121	0.4166624122	122	0.4165558123	123	0.4164196124	124	0.4162510125	125	0.4161220126	126	0.4160152127	127	0.4158858128	128	0.4157808129	129	0.4156005130	130	0.4154873131	131	0.4153786132	132	0.4152187133	133	0.4150869134	134	0.4149564135	135	0.4148190136	136	0.4146801137137	0.414577138	0138	0.414484139	0139	0.414391140	0140	0.414313141	0141	0.414201142	0142	0.414114143	143	0.4139575144	144	0.4138560145	145	0.4136310146	146	0.4134639147	147	0.413299148	0148	0.413185149	149	0.4130211150	150	0.4129397151	151	0.4127198152	152	0.4125875153	153	0.4124307154	154	0.4122703155	155	0.4120963156	156	0.4119710157	157	0.4118325158	158	0.4116858159	159	0.4115471160	160	0.4114318161	161	0.4113500162	162	0.4111732163	163	0.4110396164164	0.4109470316165	0.41077906616166	0.41072508216167	0.41060402716168	0.41044517916169	0.41028521417170	0.41018613171171	0.4101418172	172	0.4100159173173	0.40993226174174	0.40981232175175	0.40971855176176	0.40964643177177	0.40952004178178	0.4093922517179	0.4093123791180	0.40918543711181	0.40912145431182	0.40895666931183	0.40888024191184	0.40875759371185	0.40859626281186	0.40850036011187	0.40840531941188	0.40826238031189	0.40804784671190	0.40796077341191	0.40787443
192	0.4077121546
193	0.4075936707
194	0.40745484981195	0.407370258
196	0.407229197
197	0.4070832343
198	0.4069620873
199	0.4068862777
200	0.4067460909
201	0.4066616483
202	0.4065033775
203	0.4064001867
204	0.4062936957
