iter	Logloss
0	0.6897713078
1	0.6848258209
2	0.6795522529
3	0.6743473261
4	0.6688830374
5	0.6645077496
6	0.6612791382
7	0.6575672838
8	0.6520554386
9	0.6483140185
10	0.6443888565
11	0.6404449263
12	0.6365906507
13	0.6325880913
14	0.6290134268
15	0.6248358308
16	0.6210574906
17	0.617691053
18	0.6139193924
19	0.6109894466
20	0.6084302724
21	0.6051158651
22	0.6021884363
23	0.5981879318
24	0.5947631047
25	0.5929981619
26	0.5900837124
27	0.5864907743
28	0.5835480594
29	0.580397943
30	0.5778379148
31	0.5740705182
32	0.5716687686
33	0.5691418686
34	0.5671394871
35	0.5644203083
36	0.5618776567
37	0.5587906071
38	0.5561911817
39	0.5543208411
40	0.5510636706
41	0.548881252
42	0.5468544328
43	0.5447706814
44	0.5425449956
45	0.5395299033
46	0.5384093584
47	0.5364797459
48	0.533834736
49	0.5308236719
50	0.5290183944
51	0.5269418013
52	0.5253485927
53	0.5226636116
54	0.5202534163
55	0.5188818053
56	0.5169473484
57	0.5153521421
58	0.5137118828
59	0.5121265
60	0.5109547522
61	0.5091405309
62	0.50694033
63	0.5055919799
64	0.5032163858
65	0.5013802276
66	0.4996095104
67	0.4977556378
68	0.4966675017
69	0.4956056405
70	0.4943362907
71	0.492799373
72	0.4916455138
73	0.4903606235
74	0.4888288442
75	0.4874616982
76	0.4862831818
77	0.4842564306
78	0.4828717258
79	0.4815150674
80	0.4799521846
81	0.4783836716
82	0.4771437782
83	0.4763129296
84	0.4746844269
85	0.473635615
86	0.4720783011
87	0.4712030671
88	0.4701297974
89	0.4690975745
90	0.4678973089
91	0.4671438274
92	0.4654827947
93	0.4641238495
94	0.4629596796
95	0.4623481689
96	0.4611922304
97	0.460480344
98	0.4597845096
99	0.4583530146
100	0.4579115219
101	0.4573090267
102	0.456325168
103	0.4555338685
104	0.4548345273
105	0.4541358194
106	0.4535773545
107	0.4525885466
108	0.4517855063
109	0.4505699423
110	0.4499904115
111	0.4489388725
112	0.4483164926
113	0.4471073249
114	0.4467487322
115	0.4464949806
116	0.4460864977
117	0.4453830977
118	0.4448474251
119	0.4441235494
120	0.44316269
121	0.4424338312
122	0.4417927525
123	0.4410396202
124	0.440311298
125	0.4396192434
126	0.438756629
127	0.4378558024
128	0.4371913629
129	0.436160301
130	0.4356527876
131	0.4346684082
132	0.4337825904
133	0.4331987695
134	0.4325599463
135	0.4317889098
136	0.4311475003
137	0.4308617671
138	0.4302771848
139	0.4300338267
140	0.4290043914
141	0.4287187593
142	0.4280932301
143	0.4276192356
144	0.4274002364
145	0.426895899
146	0.4265378536
147	0.4258718936
148	0.425248565
149	0.4249640047
150	0.4242721735
151	0.4237550414
152	0.4233808057
153	0.4228128498
154	0.4220851527
155	0.4216780981
156	0.420962374
157	0.4201901873
158	0.4199219923
159	0.4194758335
160	160	0.4281680161	161	0.4279362162	162	0.4277733163	163	0.427312164	0164	0.426770165	0165	0.426175166	0166	0.425594167	0167	0.425416168	0168	0.424575169	0169	0.423782170	0170	0.423461171	0171	0.422894172	0172	0.422549173	0.4131960691
174	0.4126589594
175	0.4122560307
176	0.4116629347
177	0177	0.421023178	0178	0.420763179	0179	0.420533180	0180	0.420229181	0181	0.419940182	0182	0.419684183	0183	0.419394184	0184	0.419091185	0.4090354527
186	0.4087917668
187	0.4086291723
188	188	0.4180301189	0.407453042
190	0.4070914123
191	0.406501967
192	0.4063257185
193	0.4061214269
194	0.194	0.41599195	0.195	0.41559196	0.196	0.41522197	0.197	0.41501198	0.198	0.41482199	0.4042353889
200	0.4036675897
201	0.201	0.41347202	0.202	0.41302203	0.203	0.41245204	0204	0.412173205	0.4019435688
206	0206	0.411387207	0.4014015925
208	0.4012005791
209	0.4010240438
210	0.4008894051
211	0.4005825253
212	0.4003768991
213	0.4000119402
214	0.3994287217
215	0.3990567547
216	0.3988390999
217	0.3983883643
218	0.3980535878
219	0.3977840366
220	0.3974076821
221	0.3971346757
222	0.3967149992
223	0.3965351519
224	0.3963586488
225	0.3960330704
226	0.3956213859
227	0.3954496293
228	0.3952376746
229	0.3949003712
230	0.3944743352
231	0.3943468388
232	0.394151989
233	0.3940075503
234	0.3938528598
235	0.3936706036
236	0.3934693071
237	0.3931654444
238	0.3929619324
239	0.3928607482
240	0.3927298836
241	0.3926335062
242	0.3924881557
243	0.3922712524
244	0.3920660459
245	0.3920331317
246	0.3919190509
247	0.3917265094
248	0.3910771744
249	0.3909452505
250	0.390819897
251	0.3906446694
252	0.3905460857
253	0.3903468375
254	0.3902153066
255	0.3900182045
256	0.3898124853
257	0.389654252
258	0.3895504787
259	0.3894147153
260	0.3890720916
261	0.3889314082
262	0.3886831758
263	0.3885048723
264	0.3884482875
265	0.3881727083
266	0.3880484591
267	0.3876962841
268	0.3875904208
269	0.387451775
270	0.3871673523
271	0.3871084963
272	0.3869579298
273	0.3868061286
274	0.386449677
275	0.3863143013
276	0.3861697408
277	0.3859024308
278	0.3858154406
279	0.3856732754
280	0.3851443833
281	0.3849276461
282	0.3845684865
283	0.384472041
284	0.3843625313
285	0.3842622806
286	0.3841390895
287	0.3839157481
288	0.3838537968
289	0.3837672152
290	0.3837174089
291	0.3835232393
292	0.3832285013
293	0.3831234451
294	0.3830126647
295	0.3826109259
296	0.3825337706
297	0.3824658084
298	0.3822639654
299	0.3819970434
300	0.3818892814
301	0.3817735133
302	0.3817346558
303	0.3815360384
304	0.3813919918
305	0.3812595125
306	0.3811644624
307	0.3810394198
308	0.3809584424
309	0.3808219202
310	0.3807598404
311	0.3805573295
312	0.380367024
313	0.3802365312
314	0.3801330936
315	0.3799936792
316	0.3798982064
317	0.3798431942
318	0.3794545317
319	0.3793771927
320	0.3793006463
321	0.3788406877
322	0.3787468158
323	0.3784583853
324	0.3783692461
325	0.3781514253
326	0.3780639875
327	0.3779993471
328	0.3779448005
329	0.377652423
330	0.3774965549
331	0.3774401578
332	0.3773638037
333	0.3772594153
334	0.3772159899
335	0.3771341365
336	0.377039971
337	0.3769747692
338	0.3764467299
339	0.376357615
340	0.3761050748
341	0.3760283846
342	0.3758294778
343	0.3756882771
344	0.3754903526
345	0.3754000228
346	0.3750340929
347	0.3749480471
348	0.3748490999
349	0.3747639636
350	0.3747017679
351	0.3745790697
352	0.3745105337
353	0.3744194375
354	0.374247563
355	0.3741754888
356	0.3740837658
357	0.3740125548
358	0.373755185
359	0.3735889727
360	0.3735613459
361	0.3733590837
362	0.3732316784
363	0.3731169647
364	0.3730167978
365	0.3729379081
366	0.3728455814
367	0.3727604855
368	0.3726776598
369	0.372611127
370	0.3725504817
371	0.3724609758
372	0.3723378544
373	0.3722806006
374	0.3721954066
375	0.3721466274
376	0.3720804995
377	0.3719691369
378	0.3718827544
379	0.3716255992
380	0.3714410073
381	0.3713996236
382	0.3713083327
383	0.3712003598
384	0.3710524487
385	0.3710211071
386	0.3709479887
387	0.3708945005
388	0.3707817079
389	0.3704852386
390	0.3703812749
391	0.3702659587
392	0.3701967744
393	0.370040443
394	0.369983884
395	0.3699365847
396	0.3698883901
397	0.3696533756
398	0.3695105935
399	0.3693855928
400	0.3693106086
401	0.3691105015
402	0.3689437319
403	0.3688782472
404	0.3686161925
405	0.3685360784
406	0.3683672152
407	0.3682976882
408	0.3681890101
409	0.3681140195
410	0.3680081571
411	0.3679472145
412	0.3678704938
413	0.367768914
414	0.3675757805
415	0.367326284
416	0.3672563324
417	0.3671489455
418	0.3670559044
419	0.3669870831
420	0.3668106114
421	0.3667430948
422	0.3666458351
423	0.366595869
424	0.3663561794
425	0.3661452453
426	0.3658592828
427	0.3657611811
428	0.3657009982
429	0.3655328373
430	0.3654576074
431	0.3654351551
432	0.3653576897
433	0.3652853529
434	0.3652001767
435	0.3651373731
436	0.3649241414
437	0.3648280225
438	0.3647242005
439	0.3645905075
440	0.3645226725
441	0.3641558761
442	0.3637473717
443	0.3636714677
444	0.3635608372
445	0.3634934274
446	0.3633933225
447	0.3633236281
448	0.3631880311
449	0.3630803793
450	0.3629193235
451	0.3627060709
452	0.3626204939
453	0.362569006
454	0.3625157683
455	0.3624332816
456	0.3622757676
457	0.3621772189
458	0.3621197165
459	0.3620188685
460	0.3619598292
461	0.3618576307
462	0.361789434
463	0.3614887458
464	0.361423196
465	0.3611767111
466	0.3610393456
467	0.3609458547
468	0.3608928032
469	0.3608106175
470	0.3607373619
471	0.3606535644
472	0.360471624
473	0.3604279743
474	0.3603320783
475	0.3602155673
476	0.360152022
477	0.3600908145
478	0.360024764
479	0.3598794155
480	0.359742691
481	0.3595024708
482	0.3594337164
483	0.3593945281
484	0.3592907193
485	0.3592279981
486	0.359147984
487	0.3590258056
488	0.35897987
489	0.3589202954
490	0.358872679
491	0.3587690602
492	0.3586592278
493	0.3585983151
494	0.3584928869
495	0.3584571898
496	0.3582794514
497	0.3581859628
498	0.3580884569
499	0.3579864731
500	0.3578585915
501	0.3577637417
502	0.3576793257
503	0.3575035397
504	0.3574327893
505	0.3573322756
506	0.3571267769
