iter	Passed	Remaining
413	7659	10841
414	7679	10824
415	7696	10804
416	7714	10785
417	7733	10767
418	7754	10752
419	7771	10732
420	7789	10713
421	7808	10695
422	7829	10680
423	7848	10662
424	7867	10644
425	7888	10629
426	7907	10610
427	7925	10591
428	7945	10575
429	7962	10554
430	7980	10535
431	7996	10514
432	8013	10493
433	8029	10472
434	8049	10455
435	8067	10435
436	8086	10417
437	8100	10394
438	8115	10370
439	8131	10349
440	8148	10328
441	8164	10306
442	8180	10285
443	8196	10264
444	8212	10243
445	8228	10221
446	8243	10198
447	8259	10176
448	8273	10153
449	8290	10133
450	8307	10112
451	8322	10090
452	8338	10068
453	8354	10047
454	8370	10025
455	8387	10006
456	8401	9982
457	8414	9958
458	8430	9937
459	8449	9919
460	8465	9898
461	8484	9879
462	8499	9858
463	8514	9836
464	8529	9814
465	8546	9793
466	8562	9773
467	8577	9750
468	8592	9728
469	8607	9705
470	8623	9685
471	8647	9673
472	8665	9654
473	8682	9635
474	8699	9615
475	8716	9595
476	8732	9574
477	8748	9554
478	8764	9532
479	8780	9512
480	8798	9493
481	8814	9473
482	8829	9450
483	8847	9432
484	8863	9412
485	8881	9392
486	8899	9374
487	8916	9355
488	8933	9335
489	8951	9316
490	8969	9298
491	8986	9278
492	9002	9493	493	9017	9494	494	9034	9495	495	9050	9496	496	9072	9497	497	9090	9498	498	9111	9148
499	9129	9129
500	9145	9109
501	9163	9090
502	9182	9072
503	9200	9054
504	9217	9035
505	9236	9017
506	9252	8997
507	9272	8980
508	9290	8961
509	9310	8944
510	9329	8927
511	9351	8912
512	9377	8902
513	9395	8884
514	9412	8864
515	9429	8844
516	9445	8823
517	9461	8803
518	9479	8785
519	9497	8767
520	9514	8747
521	9531	8727
522	9548	8709
523	9564	8688
524	9578	8666
525	9594	8645
526	9612	8627
527	9628	8607
528	9646	8588
529	9662	8568
530	9676	8547
531	9694	8528
532	9709	8507
533	9726	8488
534	9742	8467
535	9757	8446
536	9773	8426
537	9789	8406
538	9807	8387
539	9822	8367
540	9837	8346
541	9854	8327
542	9869	8306
543	9886	8287
544	9903	8268
545	9920	8248
546	9936	8228
547	9953	8209
548	9970	8190
549	9986	8170
550	10003	8151
551	10021	8133
552	10040	8116
553	10060	8099
554	10077	8079
555	10097	8063
